,Company Name,Clients (Domestic PF/EPFO),Clients (Domestic Corporates),Clients (Domestic Non-Corporates),Clients (Foreign Non-Residents),Clients (Foreign FPI),Clients (Foreign Others),Clients (Total),AUM (Domestic PF/EPFO),AUM (Domestic Corporates),AUM (Domestic Non-Corporates),AUM (Foreign Non-Residents),AUM (Foreign FPI),AUM (Foreign Others),AUM (Total)
222,KLAY SECURITIES PRIVATE LIMITED,0.0,4.0,96.0,16.0,0.0,0.0,116.0,0.0,6.31,473.39,61.8,0.0,0.0,541.49
223,KOTAK ALTERNATE ASSET MANAGERS LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD,0.0,79.0,1169.0,211.0,0.0,0.0,1459.0,0.0,902.253,3278.05093,233.73442,0.0,0.0,4414.03835
225,KOTAK SECURITIES LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,KRIIS PORTFOLIO PVT. LTD.,0.0,9.0,163.0,1.0,0.0,0.0,173.0,0.0,49.89523,246.03236,0.9075,0.0,0.0,296.83509
227,KSEMA WEALTH PVT LTD,0.0,0.0,37.0,25.0,1.0,0.0,63.0,0.0,0.0,60.95735,29.5046,42.01942,0.0,132.48137
228,KUNVARJI FINSTOCK PRIVATE LIMITED,0.0,0.0,9.0,5.0,0.0,0.0,14.0,0.0,0.0,5.41,2.73,0.0,0.0,8.14
229,KYNG CAPITAL MANAGEMENT PRIVATE LIMITED,0.0,4.0,3.0,0.0,0.0,0.0,7.0,0.0,138.36,8.45,0.0,0.0,0.0,146.81
230,LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,0.0,6.0,15.0,5.0,2.0,0.0,28.0,0.0,110.02,151.87,49.85,3812.63,0.0,4124.37
231,LADDERUP WEALTH MANAGEMENT PVT LTD ,0.0,5.0,79.0,16.0,0.0,0.0,100.0,0.0,11.5405,107.49846,18.02573,0.0,0.0,137.06469
232,LAKEWATER ADVISORS PRIVATE LIMITED,0.0,7.0,38.0,2.0,0.0,0.0,47.0,0.0,6.26565,42.74454,2.75105,0.0,0.0,51.76124
233,LATENT ADVISORS LLP,0.0,4.0,47.0,1.0,0.0,0.0,52.0,0.0,13.16834,68.31322,1.2029,0.0,0.0,82.68446
234,LAUREL SECURITIES PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,LC CAPITAL INDIA PRIVATE LIMITED,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3
236,LC NUEVA INVESTMENT PARTNERS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,LGT WEALTH INDIA PRIVATE LIMITED,0.0,29.0,147.0,21.0,0.0,0.0,197.0,0.0,926.85,675.73,78.12,0.0,0.0,1680.69
238,LIGHTHOUSE AMC PRIVATE LIMITED,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,34.99,0.0,0.0,0.0,34.99
239,LKP SECURITIES LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,M/S JHP SECURITIES PRIVATE LIMITED,0.0,2.0,59.0,8.0,0.0,0.0,69.0,0.0,2.6137,105.26093,9.20326,0.0,0.0,117.07789
241,"M/S.ASTEYA INVESTMENT MANAGERS LLP,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,MAGADH CAPITAL ADVISORS LLP,0.0,3.0,21.0,2.0,0.0,0.0,26.0,0.0,10.79054,32.71049,19.39387,0.0,0.0,62.8949
243,MANSI SHARE  AND  STOCK ADVISORS PRIVATE LIMITED ,0.0,8.0,157.0,3.0,0.0,0.0,168.0,0.0,11.08397,146.91675,1.61121,0.0,0.0,159.61193
244,MARATHON TRENDS ADVISORY PRIVATE LIMITED,0.0,46.0,652.0,23.0,0.0,0.0,721.0,0.0,130.6822,575.3548,39.57063,0.0,0.0,745.60763
245,MARCELLUS INVESTMENT MANAGERS PRIVATE LIMITED,0.0,171.0,3369.0,637.0,1.0,2.0,4180.0,0.0,561.64,3588.73,804.93,439.28,192.53,5587.1
246,MARFATIA STOCK BROKING PRIVATE LIMITED,0.0,5.0,58.0,2.0,0.0,0.0,65.0,0.0,12.63,74.75,2.5,0.0,0.0,89.88
247,MARKETS MOJO ASSET MANAGEMENT PRIVATE LIMITED,0.0,15.0,704.0,163.0,0.0,0.0,882.0,0.0,17.94,756.6,181.5,0.0,0.0,956.04
248,MASTER PORTFOLIO SERVICES LTD,0.0,34.0,266.0,24.0,0.0,0.0,324.0,0.0,107.34151,346.23632,34.68947,0.0,0.0,488.2673
249,MAXIMAL CAPITAL PRIVATE LIMITED,0.0,4.0,72.0,11.0,0.0,0.0,87.0,0.0,7.03046,134.22439,26.70262,0.0,0.0,167.95747
250,MEHTA EQUITIES LIMITED,0.0,17.0,74.0,2.0,0.0,0.0,93.0,0.0,30.43752,163.85415,5.35312,0.0,0.0,199.64479
251,MERISIS ADVISORS PRIVATE LIMITED,0.0,1.0,10.0,0.0,0.0,0.0,11.0,0.0,0.57583,6.3793,0.0,0.0,0.0,6.95512
252,MICROSEC WEALTH MANAGEMENT LIMITED ,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,57.34098,1.29776,0.0,0.0,0.0,58.63874
253,MILESTONE CAPITAL ADVISORS PRIVATE LIMITED,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,6.39,0.0,0.0,0.0,6.39
254,MILLENNIUM FINANCE LTD.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,MITTAL ANALYTICS PRIVATE LIMITED,0.0,3.0,35.0,0.0,0.0,0.0,38.0,0.0,8.82,283.01,0.0,0.0,0.0,291.83
256,MIV INVESTMENT SERVICES PVT. LTD.,0.0,30.0,326.0,46.0,0.0,0.0,402.0,0.0,189.29,1565.65,274.65,0.0,0.0,2029.59
257,MO ALTERNATE INVESTMENT ADVISORS PRIVATE LIMITED,0.0,6.0,13.0,2.0,0.0,0.0,21.0,0.0,39.84395,77.99964,9.55724,0.0,0.0,127.40104
258,MOAT FINANCIAL SERVICES PRIVATE LIMITED,0.0,5.0,156.0,36.0,0.0,0.0,197.0,0.0,5.54,189.21,29.55,0.0,0.0,224.3
259,MOLECULE VENTURES LLP,0.0,34.0,347.0,25.0,0.0,0.0,406.0,0.0,214.3207,463.15106,27.01449,0.0,0.0,704.48625
260,MONARCH NETWORTH CAPITAL LIMITED,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,MONEYBEE SECURITIES PRIVATE LIMITED,0.0,3.0,70.0,12.0,0.0,0.0,85.0,0.0,5.5655,127.2682,29.6436,0.0,0.0,162.4773
262,MONEYGROW ASSET PRIVATE LIMITED,0.0,19.0,133.0,8.0,0.0,0.0,160.0,0.0,131.34,292.32,8.93,0.0,0.0,432.6
263,MONEYLIFE ADVISORY SERVICES PVT LTD,0.0,2.0,131.0,10.0,0.0,0.0,143.0,0.0,37.7052,215.23269,16.82128,0.0,0.0,269.75918
264,MOTILAL OSWAL ASSET MANAGEMENT COMPANY LIMITED,0.0,318.0,10547.0,1045.0,0.0,0.0,11910.0,0.0,1967.01541,11562.1043,1702.01911,0.0,0.0,15231.13882
265,MOTILAL OSWAL WEALTH LIMITED,0.0,97.0,399.0,11.0,0.0,0.0,507.0,0.0,1795.96243,3368.63562,18.70225,0.0,0.0,5183.3003
266,MRG INVESTMENT PARTNERS PRIVATE LIMITED,0.0,0.0,43.0,7.0,0.0,0.0,50.0,0.0,0.0,55.05771,5.31167,0.0,0.0,60.36938
267,MULTI-ACT EQUITY CONSULTANCY PVT LTD,0.0,26.0,181.0,37.0,0.0,0.0,244.0,0.0,745.25,560.14,121.75,0.0,0.0,1427.15
268,MULTIPLES ALTERNATE ASSET MANAGEMENT PRIVATE LIMITED,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,370.0,50.0,0.0,0.0,0.0,420.0
269,MUNOTH FINANCIAL SERVICES LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,NAFA ASSET MANAGERS PRIVATE LIMITED,0.0,25.0,211.0,67.0,0.0,0.0,303.0,0.0,59.1605,280.1724,143.9165,0.0,0.0,483.2494
271,NARNOLIA  FINANCIAL SERVICES LTD,0.0,14.0,156.0,14.0,1.0,0.0,185.0,0.0,73.94,775.05,46.65,143.31,0.0,1038.95
272,NEGEN CAPITAL SERVICES PRIVATE LIMITED,0.0,44.0,700.0,128.0,0.0,0.0,872.0,0.0,78.33697,834.60701,137.59641,0.0,0.0,1050.54039
273,NEO ASSET MANAGEMENT PRIVATE LIMITED,0.0,52.0,126.0,5.0,0.0,0.0,183.0,0.0,850.54,646.07,14.82,0.0,0.0,1511.43
274,NEOLIV CAPITAL ADVISORY PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,NEW BERRY CAPITALS PVT. LTD.,0.0,3.0,8.0,0.0,0.0,0.0,11.0,0.0,3.25174,4.36806,0.0,0.0,0.0,7.6198
276,NEW HORIZON WEALTH MANAGEMENT PRIVATE LIMITED,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,12.39,0.0,0.0,0.0,12.39
277,NINE RIVERS CAPITAL HOLDINGS PRIVATE LIMITED,0.0,33.0,389.0,35.0,0.0,0.0,457.0,0.0,105.50932,589.77417,64.68169,0.0,0.0,759.96517
278,NIPPON LIFE INDIA AIF MANAGEMENT LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED ,0.0,195.0,900.0,84.0,0.0,0.0,1179.0,0.0,78169.71,469.68,99.27,0.0,0.0,78738.66
280,NIRMAL BANG SECURITIES PRIVATE LIMITED,0.0,3.0,86.0,5.0,0.0,0.0,94.0,0.0,8.17109,145.30185,6.09633,0.0,0.0,159.56927
281,NJ ASSET MANAGEMENT PRIVATE LIMITED,0.0,41.0,3419.0,70.0,0.0,0.0,3530.0,0.0,294.257,4117.874,76.775,0.0,0.0,4488.906
282,NMR CAPITAL ADVISORS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,NNM SECURITIES PRIVATE LIMITED,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,5.9,0.0,0.0,0.0,5.9
284,NORTHERN ARC INVESTMENT MANAGERS PRIVATE LIMITED,0.0,20.0,36.0,0.0,0.0,0.0,56.0,0.0,133.88669,77.78212,0.0,0.0,0.0,211.66881
285,NUVAMA ASSET MANAGEMENT LIMITED,0.0,189.0,732.0,14.0,0.0,0.0,935.0,0.0,2144.7,3250.5,164.23,0.0,0.0,5559.43
286,NV ALPHA FUND MANAGEMENT LLP,0.0,4.0,6.0,0.0,0.0,0.0,10.0,0.0,83.6726,267.79976,0.0,0.0,0.0,351.47236
287,OAKLANE CAPITAL MANAGEMENT LLP,0.0,14.0,49.0,5.0,0.0,0.0,68.0,0.0,3396.90836,1858.46823,58.72987,0.0,0.0,5314.10646
288,OAKS ASSET MANAGEMENT PRIVATE LIMITED,0.0,80.0,252.0,15.0,0.0,1.0,348.0,0.0,263.27284,298.79607,31.73113,0.0,0.0,593.80003
289,OCEAN DIAL ASSET MANAGEMENT INDIA PRIVATE LIMITED,0.0,21.0,136.0,22.0,0.0,0.0,179.0,0.0,364.93,386.67,76.19,0.0,0.0,827.79
290,OHM PORTFOLIO EQUI RESEARCH PVT LTD.,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,650.62402,0.0,0.0,0.0,650.62402
291,OLD BRIDGE CAPITAL MANAGEMENT PVT. LTD.,0.0,55.0,327.0,3.0,2.0,0.0,387.0,0.0,270.54555,1101.49424,2.46029,7722.3,0.0,9096.80008
292,ORIOS ADVISORS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,P.C.S SECURITIES LIMITED,0.0,1.0,28.0,0.0,0.0,0.0,29.0,0.0,2.5,20.38,0.0,0.0,0.0,22.88
294,PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED,0.0,10.0,50.0,4.0,0.0,0.0,64.0,0.0,592.78,141.78,3.92,0.0,0.0,738.48
295,PARAG PARIKH FINANCIAL ADVISORY SERVICES LIMITED,0.0,0.0,2.0,13.0,0.0,0.0,15.0,0.0,0.0,16.89,64.3,0.0,0.0,81.19
296,PATERSON SECURITIES PRIVATE LTD,0.0,0.0,22.0,6.0,0.0,0.0,28.0,0.0,0.0,19.3,27.64,0.0,0.0,46.94
297,PAVESTONE ADVISORS AND CONSULTANTS LLP,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,14.99,0.0,0.0,0.0,0.0,14.99
298,PELICAN HOLDINGS PRIVATE LIMITED,0.0,3.0,30.0,0.0,0.0,0.0,33.0,0.0,5.00131,66.48597,0.0,0.0,0.0,71.48728
299,PGIM INDIA ASSET MANAGEMENT PRIVATE LIMITED,0.0,22.0,341.0,21.0,0.0,0.0,384.0,0.0,66.64836,361.67012,17.37443,0.0,0.0,445.69292
300,PHI CAPITAL SOLUTIONS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,PHILLIPCAPITAL (INDIA) PRIVATE LIMITED,0.0,47.0,375.0,54.0,0.0,0.0,476.0,0.0,154.69603,389.80581,148.00266,0.0,0.0,692.5045
302,PIONEER CLIENT ASSOCIATES PRIVATE LIMITED,0.0,12.0,33.0,0.0,0.0,0.0,45.0,0.0,1263.49,251.12,0.0,0.0,0.0,1514.62
303,PIONEER WEALTH MANAGEMENT SERVICES LIMITED,0.0,4.0,5.0,0.0,0.0,0.0,9.0,0.0,10.53,3.69,0.0,0.0,0.0,14.22
304,PIPER SERICA ADVISORS PRIVATE LIMITED ,0.0,6.0,398.0,12.0,1.0,0.0,417.0,0.0,16.4,769.75,18.19,41.45,0.0,845.78
305,PIRAMAL FUND MANAGEMENT PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,PL ASSET MANAGEMENT PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,PRABHUDAS LILLADHER PRIVATE LIMITED,0.0,35.0,410.0,89.0,0.0,0.0,534.0,0.0,104.8172,313.06836,93.73798,0.0,0.0,511.62354
308,PRESCIENTCAP INVESTMENT ADVISORS LLP,0.0,3.0,159.0,30.0,0.0,0.0,192.0,0.0,7.79,243.64,27.99,0.0,0.0,279.42
309,PRITHVI FINMART PRIVATE LIMITED,0.0,2.0,78.0,0.0,0.0,0.0,80.0,0.0,0.99,165.17,0.0,0.0,0.0,166.16
310,PROFIT BLOOM PRIVATE LIMITED,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.19662,1.4348,0.0,0.0,0.0,2.63141
311,PROFITGATE CAPITAL SERVICES LLP,0.0,24.0,261.0,2.0,0.0,0.0,287.0,0.0,302.25861,372.90109,1.11811,0.0,0.0,676.27781
312,PROFUSION INVESTMENT ADVISORS LLP,0.0,9.0,15.0,1.0,0.0,0.0,25.0,0.0,27.78903,13.72885,10.73797,0.0,0.0,52.25585
313,PROGRESSIVE SHARE BROKERS PRIVATE LIMITED,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46,0.0,0.0,0.0,0.0,0.46
314,PROPSHARE CAPITAL ADVISORS PRIVATE LIMITED,0.0,6.0,356.0,127.0,0.0,0.0,489.0,0.0,3.35,127.58,51.16,0.0,0.0,182.09
315,PROSPERITY WEALTH MANAGEMENT PRIVATE LIMITED,0.0,21.0,20.0,0.0,0.0,0.0,41.0,0.0,80.19859,46.35337,0.0,0.0,0.0,126.55195
316,PROSPERO TREE ASSET MANAGEMENT LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,PRP EDGE WEALTH PRIVATE LIMITED,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,31.24348,3.30298,0.0,0.0,0.0,34.54647
318,PRUDENT EQUITY PRIVATE LIMITED,0.0,1.0,46.0,0.0,0.0,0.0,47.0,0.0,0.4965,26.13049,0.0,0.0,0.0,26.627
319,PRUDENT INVESTMENT MANAGERS LLP,0.0,13.0,51.0,14.0,0.0,0.0,78.0,0.0,196.22409,439.9747,74.70339,0.0,0.0,710.90218
320,PURNARTHA INVESTMENT ADVISERS PVT.LTD.,0.0,68.0,1745.0,140.0,0.0,0.0,1953.0,0.0,221.92327,1908.30772,156.33776,0.0,0.0,2286.56875
321,QED CAPITAL ADVISORS LLP,0.0,2.0,19.0,2.0,0.0,0.0,23.0,0.0,7.41361,30.65065,1.0693,0.0,0.0,39.13356
322,QODE ADVISORS LLP,0.0,1.0,15.0,0.0,0.0,0.0,16.0,0.0,0.48816,8.07796,0.0,0.0,0.0,8.56612
323,QRC INVESTMENT ADVISORS LLP,0.0,7.0,47.0,4.0,0.0,0.0,58.0,0.0,17.61256,58.21455,4.62738,0.0,0.0,80.45449
324,QUANT PORTFOLIO MANAGERS PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,QUANTUM ADVISORS PVT.LTD.,0.0,1.0,2.0,1.0,2.0,0.0,6.0,0.0,15.86,6.73,2.79,18741.83,0.0,18767.21
326,QUEST INVESTMENT ADVISORS PVT. LTD.,0.0,51.0,805.0,68.0,1.0,0.0,925.0,0.0,343.60667,1507.59349,307.87682,24.05375,0.0,2183.13073
327,R. WADIWALA SECURITIES PRIVATE LIMITED,0.0,0.0,85.0,2.0,0.0,0.0,87.0,0.0,0.0,80.40146,2.59342,0.0,0.0,82.994
328,RBSA INVESTMENT MANAGER LLP,0.0,0.0,10.0,1.0,0.0,0.0,11.0,0.0,0.0,8.49742,0.54748,0.0,0.0,9.04491
329,RELIANCE WEALTH MANAGEMENT LIMITED,0.0,0.0,27.0,10.0,0.0,0.0,37.0,0.0,0.0,21.35,14.56,0.0,0.0,35.91
330,RENAISSANCE INVESTMENT MANAGERS PRIVATE LIMITED,0.0,61.0,869.0,71.0,0.0,0.0,1001.0,0.0,227.94019,820.26459,77.32769,0.0,0.0,1125.53247
331,REVELATION PORTFOLIO MANAGEMENT PVT. LTD.,0.0,3.0,57.0,3.0,0.0,0.0,63.0,0.0,52.01,170.22,2.98,0.0,0.0,225.21
332,RIGHT HORIZONS PORTFOLIO MANAGEMENT PRIVATE LIMITED,0.0,21.0,601.0,68.0,1.0,0.0,691.0,0.0,91.29,1342.87192,114.04,12.13331,0.0,1560.33522
333,ROCKSTUD CAPITAL LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,ROHA ASSET MANAGERS LLP,0.0,9.0,96.0,15.0,0.0,0.0,120.0,0.0,97.1,267.13,26.59,0.0,0.0,390.82
335,RP-SG VENTURES ADVISORY LLP,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,2.5,0.0,0.0,0.0,4.5
336,SAGEONE INVESTMENT MANAGERS LLP,0.0,201.0,736.0,34.0,0.0,0.0,971.0,0.0,1647.40661,3051.20879,137.00756,0.0,0.0,4835.62296
337,SAHASRAR CAPITAL PRIVATE LIMITED,0.0,1.0,6.0,0.0,0.0,0.0,7.0,0.0,1.9461,1125.56506,0.0,0.0,0.0,1127.51116
338,SAMEEKSHA CAPITAL PRIVATE LIMITED,0.0,32.0,467.0,55.0,0.0,0.0,554.0,0.0,748.02259,763.67963,61.07824,0.0,0.0,1572.78046
339,SAMVITTI CAPITAL PRIVATE LIMITED,0.0,12.0,325.0,48.0,0.0,0.0,385.0,0.0,136.59496,1120.87312,61.17447,0.0,0.0,1318.64255
340,SANCTUM WEALTH PRIVATE LIMITED,0.0,35.0,178.0,10.0,0.0,0.0,223.0,0.0,159.6,255.98,15.45,0.0,0.0,431.02
341,SAVVY CAPITAL ADVISORS LLP,0.0,2.0,161.0,9.0,0.0,0.0,172.0,0.0,24.13,765.04,11.8,0.0,0.0,800.97
342,SBI FUNDS MANAGEMENT LIMITED,29.0,59.0,1689.0,122.0,3.0,0.0,1902.0,1418271.8664,52198.5359,1242.1932,82.6284,711.5216,0.0,1472506.7455
343,SCIENT CAPITAL PRIVATE LIMITED,0.0,4.0,77.0,5.0,0.0,0.0,86.0,0.0,8.22,55.29,3.29,0.0,0.0,66.8
344,SECURITIES INVESTMENT MANAGEMENT PRIVATE LIMITED,0.0,14.0,293.0,44.0,0.0,0.0,351.0,0.0,96.63,1097.82,163.07,0.0,0.0,1357.52
345,SEERS FUND MANAGEMENT PRIVATE LIMITED,0.0,3.0,139.0,14.0,1.0,0.0,157.0,0.0,13.66,340.86,40.12,19.54,0.0,414.18
346,SEKURA INDIA MANAGEMENT LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,SHADE CAPITAL PRIVATE LIMITED,0.0,5.0,29.0,2.0,0.0,0.0,36.0,0.0,8.54,74.75,2.53,0.0,0.0,85.82
348,SHAREKHAN LIMITED,0.0,8.0,631.0,12.0,0.0,0.0,651.0,0.0,12.58684,381.33065,5.88804,0.0,0.0,399.80553
349,SHEPHERDS HILL FINANCIAL ADVISORS LLP,0.0,0.0,71.0,3.0,0.0,0.0,74.0,0.0,0.0,110.61457,1.83818,0.0,0.0,112.45275
350,SHREE RAMA MANAGERS LLP,0.0,20.0,181.0,5.0,0.0,0.0,206.0,0.0,30.59,178.18,6.07,0.0,0.0,214.84
351,SHRIRAM ASSET MANAGEMENT COMPANY LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,SILA ADVISORS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,SILVERARCH INVESTMENT ADVISERS PRIVATE LIMITED,0.0,1.0,18.0,5.0,0.0,0.0,24.0,0.0,9.51615,31.19116,7.03511,0.0,0.0,47.74242
354,SINCERE SYNDICATION AND CORPORATE SERVICES LLP,0.0,5.0,277.0,55.0,0.0,0.0,337.0,0.0,4.8353,269.13031,44.9939,0.0,0.0,318.9595
355,SINGULAR CAPITAL INDIA ADVISORS LLP,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,8.07873,0.0,0.0,0.0,8.07873
356,SINGULARITY AMC LLP,0.0,7.0,5.0,1.0,0.0,0.0,13.0,0.0,45.54,40.71,4.95,0.0,0.0,91.2
357,SIRIUS ADVISORS PRIVATE LIMITED,0.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,8.66,9.11,0.0,0.0,0.0,17.77
358,SKP SECURITIES LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,SKY IMPACT CAPITAL ADVISORS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,SMARTOWNER SERVICES INDIA PVT. LTD.,0.0,5.0,204.0,55.0,0.0,0.0,264.0,0.0,1.3,55.04,16.34,0.0,0.0,72.68
361,SMC GLOBAL SECURITIES LIMITED,0.0,9.0,149.0,9.0,0.0,0.0,167.0,0.0,12.12115,124.24952,6.97476,0.0,0.0,143.34543
362,SOHUM ASSET MANAGERS PRIVATE LIMITED,0.0,3.0,29.0,2.0,0.0,0.0,34.0,0.0,17.17762,55.43707,1.47316,0.0,0.0,74.08784
363,SOLDIERS FIELD INVESTMENTS PRIVATE LIMITED,0.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,0.0,3.71,1.19,0.0,0.0,4.9
364,SOLIDARITY ADVISORS PRIVATE LIMITED,0.0,46.0,194.0,15.0,0.0,0.0,255.0,0.0,341.13,1281.26,64.8,0.0,0.0,1687.19
365,SOWILO INVESTMENT MANAGERS LLP,0.0,12.0,99.0,4.0,0.0,0.0,115.0,0.0,59.36302,112.69088,7.10973,0.0,0.0,179.16363
366,SPARK ASIA IMPACT MANAGERS PRIVATE LIMITED ,0.0,48.0,413.0,28.0,0.0,0.0,489.0,0.0,104.2465,648.04156,233.70436,0.0,0.0,985.99242
367,SPARK FUND ADVISORS LLP,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,5.9581,0.0,0.0,0.0,5.9581
368,SPARK PWM PRIVATE LIMITED ,0.0,43.0,399.0,27.0,0.0,0.0,469.0,0.0,1286.82,1369.86,215.66,0.0,0.0,2872.34
369,SPECIALE INCEPT ADVISORS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,SPICE ROUTE ADVISORS LLP,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,4.5823,0.0,0.0,0.0,4.5823
371,SQUARE 64 CAPITAL ADVISORS LLP,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,41.72,0.0,0.0,0.0,41.72
372,STALLION ASSET PRIVATE LIMITED,0.0,141.0,2674.0,294.0,0.0,0.0,3109.0,0.0,511.13291,3335.2915,395.95374,0.0,0.0,4242.37815
373,STALWART INVESTMENT ADVISORS LLP,0.0,5.0,56.0,5.0,0.0,0.0,66.0,0.0,23.18001,51.31667,8.59951,0.0,0.0,83.09619
374,STANDARD CHARTERED SECURITIES (INDIA) LIMITED,0.0,1.0,191.0,0.0,0.0,0.0,192.0,0.0,23.59074,329.36351,0.0,0.0,0.0,352.95425
375,STEPTRADE SHARE SERVICES PRIVATE LIMITED,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.5,1.0,0.0,0.0,0.0,1.5
376,STEWART  AND  MACKERTICH WEALTH MANAGEMENT LIMITED,0.0,1.0,18.0,4.0,0.0,0.0,23.0,0.0,0.6155,31.8026,19.2088,0.0,0.0,51.6269
377,STOCKHOLDING SERVICES LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,SUNDARAM ALTERNATE ASSETS LIMITED ,0.0,26.0,1779.0,465.0,2.0,0.0,2272.0,0.0,35.31,2044.49,645.04,519.82,0.0,3244.66
379,SVAN INVESTMENT MANAGERS LLP,0.0,12.0,140.0,1.0,0.0,0.0,153.0,0.0,140.05449,867.04258,0.73232,0.0,0.0,1007.82938
380,SVOBODHA INFINITY INVESTMENT ADVISORS PRIVATE LIMITED,0.0,0.0,26.0,3.0,0.0,0.0,29.0,0.0,0.0,19.42,2.02,0.0,0.0,21.44
381,SWASTIKA INVESTMART LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,SWYOM ADVISORS LIMITED,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.47988,0.0,0.0,0.0,1.47988
