,Company Name,Clients (Domestic PF/EPFO),Clients (Domestic Corporates),Clients (Domestic Non-Corporates),Clients (Foreign Non-Residents),Clients (Foreign FPI),Clients (Foreign Others),Clients (Total),AUM (Domestic PF/EPFO),AUM (Domestic Corporates),AUM (Domestic Non-Corporates),AUM (Foreign Non-Residents),AUM (Foreign FPI),AUM (Foreign Others),AUM (Total)
103,CONSTELLATION SPORTS  AND  ENTERTAINMENT PARTNERS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,CORPORATE BUSINESS ADVISORS PRIVATE LIMITED,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0
105,COUNTER CYCLICAL INVESTMENTS PRIVATE LIMITED,0.0,16.0,305.0,50.0,0.0,0.0,371.0,0.0,17.85,572.6,47.36,0.0,0.0,637.81
106,COURSER PARK ADVISORS LLP,0.0,7.0,136.0,10.0,0.0,0.0,153.0,0.0,303.81989,218.52341,12.74,0.0,0.0,535.09331
107,CREDENT ASSET MANAGEMENT SERVICES PRIVATE LIMITED,0.0,5.0,57.0,0.0,0.0,0.0,62.0,0.0,12.3,167.77,0.0,0.0,0.0,180.07
108,CREDIT SUISSE SECURITIES INDIA PRIVATE LIMITED,1.0,120.0,170.0,16.0,0.0,0.0,307.0,277.26,1722.51,1508.83,79.41,0.0,0.0,3588.0
109,CX ADVISORS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,DALAL  AND  BROACHA STOCK BROKING PVT. LTD.,0.0,13.0,308.0,178.0,0.0,0.0,499.0,0.0,59.95,626.71,430.18,0.0,0.0,1116.84
111,DARASHAW  AND  COMPANY LTD,161.0,57.0,27.0,4.0,0.0,0.0,249.0,106170.30466,36728.37363,34.70354,8.99031,0.0,0.0,142942.37213
112,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,0.0,58.0,149.0,18.0,0.0,0.0,225.0,0.0,7623.74785,6846.49251,130.0605,0.0,0.0,14600.30087
113,DEZERV INVESTMENTS PRIVATE LIMITED,0.0,157.0,2542.0,120.0,0.0,0.0,2819.0,0.0,1919.37223,4856.08799,353.89263,0.0,0.0,7129.35285
114,DIVYA CAPITAL ONE PRIVATE LIMITED,0.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,0.55,1.95,0.0,0.0,0.0,2.5
115,DMZ PARTNERS INVESTMENT MANAGEMENT LLP,0.0,8.0,114.0,10.0,0.0,0.0,132.0,0.0,82.3,379.96,36.73,0.0,0.0,498.99
116,DRCHOKSEY FINSERV PRIVATE LIMITED,0.0,2.0,99.0,20.0,0.0,0.0,121.0,0.0,88.989,376.97,106.393,0.0,0.0,572.352
117,DRIV DRISHT LLP,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,20.03036,0.0,0.0,0.0,20.03036
118,DWAITH ADVISORY PRIVATE LIMITED,0.0,1.0,11.0,0.0,0.0,0.0,12.0,0.0,11.71643,35.04616,0.0,0.0,0.0,46.76259
119,DYNAMIC EQUITIES PRIVATE LIMITED,0.0,31.0,148.0,9.0,0.0,0.0,188.0,0.0,17.7837,96.3163,4.4214,0.0,0.0,118.5213
120,EAST GREEN ADVISORS LLP,0.0,2.0,61.0,3.0,0.0,0.0,66.0,0.0,5.28,58.1,3.9,0.0,0.0,67.28
121,EAST LANE CAPITAL LLP ,0.0,2.0,61.0,3.0,0.0,0.0,66.0,0.0,5.28,58.1,3.9,0.0,0.0,67.28
122,EDELWEISS ALTERNATIVE ASSET ADVISORS LIMITED,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,51.3103,0.0,0.0,0.0,0.0,51.3103
123,EDELWEISS ASSET MANAGEMENT LIMITED,0.0,3.0,46.0,0.0,0.0,0.0,49.0,0.0,2.87,28.58,0.0,0.0,0.0,31.45
124,EDELWEISS GLOBAL WEALTH MANAGEMENT LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,EKLAVYA CAPITAL ADVISORS LLP,0.0,0.0,20.0,4.0,0.0,0.0,24.0,0.0,0.0,14.26884,2.63946,0.0,0.0,16.9083
126,ELECTRUM PORTFOLIO MANAGERS PRIVATE LIMITED,0.0,27.0,344.0,22.0,0.0,0.0,393.0,0.0,225.34443,559.02744,36.30671,0.0,0.0,820.67856
127,ELEVER INVESTMENT ADVISER PRIVATE LIMITED,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,13.24009,0.0,0.0,0.0,13.24009
128,ELITE WEALTH LIMITED,0.0,0.0,9.0,1.0,0.0,0.0,10.0,0.0,0.0,15.02,0.78,0.0,0.0,15.8
129,ELIXIR EQUITIES PVT. LTD.,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,18.27,0.0,0.0,0.0,18.27
